ChangeReportConverter 1.0.0.0 Copyright © KEBA 2012
Fileformat Version: 1
Versions: project:KePlast.IEC_01.40@\Kemro_Applications ---> project:KePlast.IEC_01.38d@\Kemro_Applications
File creation time: 2019/2/19 14:48:06
User: LANGROUP\yanghl

managerconfig\ieccontrol.cfg;CR_0060280: Exception Handling of PLC;CR_0058219: cycletime should be available in Kemro.Scope;
managerconfig\services.cfg;CR_0053209: Software Update for KePlast standard;CR_0056713 --> CR_0046366 --> CR_0048799 --> CR_0059719 --> 0053209: Software Update for KePlast standard;CR_0060985: KePlast: Statusreport should contain drive parameter files that are stored on compact flash;
managerconfig\system.cfg;CR_0044092: possibility to patch application by using USB stick;
managerconfig\ms.cfg;CR_0058981: KePlast: KVS InjectGraph: datarecorder writes cyclic to flash;CR_0059594: SPC: Integrate optimized events from data recorders;
IMM\Device1\AddFilesForExecutableSystem\appldisk\systemsettings\AAd.dat;CR_0057916: KePlast: User KETOPUSER must exist to synchronize with Ketop T70;
IMM\Device1\AddFilesForExecutableSystem\workspace\workspace\data\machinedata\machinedata.xml;CR_0053151: Remove or use unused HeatingNozzle1/HeatingMold1 sv_rHeatingRamp;CR_0051057: autocalib: manuel correction should be possible;
IMM\Device1\AddFilesForExecutableSystem\workspace\workspace\data\molddata\AutoCycle_molddata.xml;CR_0050858: Clean up�s and text typo fixes in IEC;
IMM\Device1\AddFilesForExecutableSystem\workspace\workspace\data\molddata\AutoCycle_molddata_fast.xml;CR_0058837: fast default machine cycle;
IMM\ieccontrol\system\FCreateIECVersion.pu;CR_xxxxxxx;CR_0058239: AppCo should support creating projects from Sourcehaufen without iarc files;
IMM\ieccontrol\system\ABEnergy.pu;CR_0060208: Do not call GET_SYNC_REFTO on a SV name without the FU name;
IMM\ieccontrol\system\energy.sv;CR_0050858: Clean up�s and text typo fixes in IEC;
IMM\ieccontrol\system\calibration.at;CR_0053208 --> CR_0036140 --> CR_0055978 --> CR_0035079 --> CR_0042439: pump output not correct for multi-pump machines;
IMM\ieccontrol\system\Calibration.sv;CR_0053208 --> CR_0036140 --> CR_0055978 --> CR_0035079 --> CR_0042439: pump output not correct for multi-pump machines;CR_0056417: KePlast: Provide alarm help for all existing alarms;
IMM\ieccontrol\system\hw_system_0_5A.sv;CR_0050858: Clean up�s and text typo fixes in IEC;
